NOM_CLIENT,count
MHAI ACTIFS,9013
FONDATION ZAKOURA,565
AUTO HALL,562
UNIVERSITE MOHAMMED VI POLYTECHNIQUE,448
G4S MAROC,366
O.F.P.P.T,360
CABINET D'EXPETISE OUDGHIRI,309
CABINET AFRICAIN D'EXPERTISES,273
CASH PLUS,270
BEST INTERIM,261
3S MOROCCO,244
LABEL VIE,236
DGCL,211
RENAULT TANGER EXPLOITATION,201
NEWREST MAROC,179
COOPERATIVE COPAG,164
INGELEC,160
BHF ATLAS PEINTURES,154
TEAL TECHNOLOGY SERVICES,145
ATLAS MULTISERVICES,140
MHAI VEUVES ET INVALIDES,129
TESCA SEAT COMPONENTS MOROCCO,127
FONDATION HASSAN II DE LA SANTE,123
LA SOMACA,120
FOS-HALIEUTIS,118
AL AMANA MICROFINANCE,112
DIKA MOROCCO AFRICA,110
SEWS MAROC,101
CABINET D'EXPERTISES OUFKIR,92
CABINET D'EXPERTISES OUTALEB,86
ARTUS INTERIM,82
TECTRA,81
PO LIGHTING MOROCCO,80
MIF MAROC,80
HYPER MARCHE LV,76
MANUFECTURES DE PAPIERS ET FOURNITURES,74
SYH MOROCCO,69
GHARB PAPIER CARTON,64
OFFICE NATIONAL DES AEROPORTS,64
FAURECIA EQUIPEMENT AUTOMOBILE MAROC,64
DELL SAS,64
LAPROPHAN,64
CLEAN CO SERVICES CENTURY,61
RMO TRAVAIL TEMPORAIRE,57
EUROSOL MAROC,56
CRIT,55
BAYER S.A,54
EL OMRANE AGADIR SOUS MASSA,53
HUMANIA ITO MOROCCO,53
DGPC,52
AUTO HALL VEHICULES INDUSTRIELS,51
HOLDING D’AMENAGEMENT AL OMRANE,51
FAURECIA  AUTOMOTIVES SYSTÈME TECHNOLOGIES,50
"CTM ""CARRIERES ET TRANSPORT MENARA""",50
PRICEWATER HOUSECOOPERS SERVICES (SUCC),50
SOGEA MAROC,50
EL OMRANE MARRAKECH SAFI,49
EL OMRANE REGION DE L’ORIENTALE,49
NEXANS MAROC,47
DIKA MOROCCO CASTING,47
STE CHERIFIENNE D'AUTOMOBILES  ET MATERIEL AGRICOLE - SCAMA,46
MARSA MAROC,46
MENARA PREFA,45
COMANAV,45
CLEAN CO SERVICES VIGILANCE,45
"CENTRALE AUTOMOBILE CHERIFIENNE ""CAC""",44
PHONEO,43
STAM,43
ETABLISSEMENT COSSA,40
ADMINISTRATION GENERALE DU MINISTERE DE L'INTERIEUR,39
BMCI,39
