NOM_CLIENT,count
FONDATION DES OEUVRES SOCIALES DES TRAVAUX PUBLICS,8292
AUXILIAIRES D'AUTORITE RURAUX,7127
MUTUELLE DES DOUANES ET IMPOTS INDIRECTS,7013
ADMINISTRATION GENERALE DU MINISTERE DE L'INTERIEU,5732
DGCL,1879
OFFICE NATIONAL DES AEROPORTS,1252
RENAULT TANGER EXPLOITATION,1146
SEWS MFZ,1125
O.F.P.P.T,979
SEWS MAROC,800
FONDATION ZAKOURA,768
G4S MAROC,767
LABEL VIE,748
COOPERATIVE COPAG,679
3S MOROCCO,621
FONDATION HASSAN II DE LA SANTE,611
DELL SAS,545
BARID AL MAGHRIB,531
UNIVERSITE MOHAMMED VI POLYTECHNIQUE,475
STE CGI TECHNOLOGIE ET SOLUTIONS MAROC,475
SOCIETE SE BORDNETZE MOROCCO,467
AL AMANA MICROFINANCE,398
LA SOMACA,317
SYH MOROCCO,301
NEWREST MAROC,291
OFFICE NATIONAL DE PECHES,289
BEST INTERIM,283
TESCA SEAT COMPONENTS MOROCCO,283
MINISTERE DE LA JUSTICE,277
DOUJA PROMOTION GROUPE ADDOHA SA,251
ASSOCIATION DES ŒUVRES SOCIALES DE L'OFFICE DES CH,239
HYPER MARCHE LV,238
BUSINESS CASH CENTER,211
MOBILE.COM,203
HOUAR,202
CDG,197
TECTRA,195
GHARB PAPIER CARTON,188
TRANSDEV RABAT SALE,188
JACOB DELAFON MAROC,176
DGPC,171
DIKA MOROCCO AFRICA,164
ATLAS MULTISERVICES,164
LAPROPHAN,153
TESCA COVERING MATERIALS MOROCCO,149
ISMAWOOD,147
RMO TRAVAIL TEMPORAIRE,141
SAINT GOBAIN SEKURIT MAROC,129
KITEA,128
RAM HANDLING,125
SOCIETE MAROCAINE DE TRAVAIL TEMPORAIRE,120
DYAR AL MADINA,117
ADMINISTRATION GENERALE DU MINISTERE DE L'INTERIEUR,113
TESCA TEXTILES & SEAT COMPONENTS MOROCCO,105
10 RAJEB,97
GALVARPLAST MAROC,96
UNIMER,95
MENARA PREFA,95
POLYDESIGN SYSTEMS,94
MAXI LV,92
MARSA MAROC,92
ACCOLADE CASABLANCA,89
LES CELLIERS DE MEKNES,88
BMCI,87
CRIT,84
NOVEC,82
SOCIETE DES BOISSONS GAZEUSES DU SOUSS,82
