NOM_CLIENT,count
DGCL,801
G4S MAROC,796
UNIVERSITE MOHAMMED VI POLYTECHNIQUE,753
LABEL VIE,614
FOS-HALIEUTIS,592
ROCA MAROC,554
RENAULT TANGER EXPLOITATION,552
COOPERATIVE COPAG,445
FONDATION ZAKOURA,433
BEST INTERIM,402
3S MOROCCO,379
TESCA SEAT COMPONENTS MOROCCO,347
US EMBASSY,333
O.F.P.P.T,326
DIKA MOROCCO AFRICA,325
NEWREST MAROC,321
CROUZET,292
FONDATION HASSAN II DE LA SANTE,270
SOCIETE SE BORDNETZE MOROCCO,267
LA SOMACA,238
SEWS MAROC,224
HYPER MARCHE LV,219
NTT DATA MOROCCO CENTERS,201
SYH MOROCCO,196
AL AMANA MICROFINANCE,194
DELL SAS,193
ATLAS MULTISERVICES,168
STE CGI TECHNOLOGIE ET SOLUTIONS MAROC,164
CMA CGM MAROC,154
MAXI LV,149
TECTRA,142
ETABLISSEMENT COSSA,140
RMO TRAVAIL TEMPORAIRE,131
SAINT GOBAIN SEKURIT MAROC,130
GHARB PAPIER CARTON,123
NEWREST FACILITY MANAGEMENT SERVICES MAROC,120
BUSINESS CASH CENTER,119
GALVARPLAST MAROC,115
EVIOSYS PACKAGING MAROC,110
BARID AL MAGHRIB,107
CRIT,106
ENTERPRISE SERVICES CDG,104
SYNTHEMEDIC,103
"BEACHCOMBER HOTELS ""FAIRMONT MARRAKECH""",100
COMANAV,100
AJIAL AL MANSOUR ADDAHBI KASR AL MOATAMARAT,99
DEKRA AUTOMOTIVE MAROC,99
LAPROPHAN,98
LESAFFRE MAROC,92
PRICEWATER HOUSECOOPERS SERVICES (SUCC),90
TN CAPITAL,88
MENARA PREFA,85
JACOB DELAFON MAROC,83
TESCA COVERING MATERIALS MOROCCO,77
SOCIETE MAROCAINE DE TRAVAIL TEMPORAIRE,75
MINISTERE DE LA JUSTICE,70
OFFICE NATIONAL DE PECHES,70
AL AKHAWAYN UNIVERSITY,69
SOGEA MAROC,68
CDG,68
STAM,67
AL AJIAL ASSETS,66
"CTM ""CARRIERES ET TRANSPORT MENARA""",66
HOPITAL PRIVE D'EL JADIDA,66
ARTUS INTERIM,61
TREROC,60
DIKA MOROCCO CASTING,60
DGPC,58
CIBEL,58
ATLAS ONLINE,57
BRICO INVEST,56
RAM HANDLING,56
HOTEL LA TOUR HASSAN,56
EXPLOITATION DES HOTELS RYAD MOGADOR,56
HOPITAL PRIVE DE CASABLANCA AIN  SEBAA,55
HOPITAL INTERNATIONAL AGADIR,55
TESCA TEXTILES & SEAT COMPONENTS MOROCCO,54
ADIDAS MOROCCO LLC,53
BMCI,53
"CENTRALE AUTOMOBILE CHERIFIENNE ""CAC""",52
MARSA MAROC,49
ADMINISTRATION GENERALE DU MINISTERE DE L'INTERIEU,49
UMANIS,48
PHONEO,47
ELECTROMECANIQUE ENERGIE,47
SNEP,46
ACCOLADE CASABLANCA,46
GROUPE AFMA,43
NOVEC,43
OFFICE NATIONAL DES AEROPORTS,42
TOYOTA DU MAROC,42
G4S INTEGRATED SERVICES MOROCCO,40
MAZARS AUDIT ET CONSEIL,40
TERSEA MAROC,38
CROWN PACKAGING MAROC,38
CBI,37
SEWS MFZ,37
FONDATION DES OEUVRES SOCIALES DES TRAVAUX PUBLICS,37
SOCIETE CENTRALE DE REASSURANCE,36
SOREAD,36
LA MAROCAINE DE RADIO ET DE BROADCAST,35
SOURIAU MAROC,35
PUBLIDAY MULTIDIA,35
QATAR NATIONAL HOTELS COMPANY MOROCCO,35
FIDAROC GRANT THORNTON,34
MEDICABLE,34
PO LIGHTING MOROCCO,34
ADMINISTRATION GENERALE DU MINISTERE DE L'INTERIEUR,34
HOPITAL PRIVE DE SALE,33
SCIF,33
ILAICOM,32
NOMADE ENGINEERING,32
NOKIA SOLUTIONS AND NETWORKS MOROCCO SARL,32
SOCIETE DE REALISATION MECANIQUE - SRM,32
MAROC SOIR,31
DAMA CONSULTING,31
TRANSDEV RABAT SALE,31
HOUAR,30
