NOM_CLIENT,count
FONDATION HASSAN II DE LA SANTE,1884
DGCL,1745
RENAULT TANGER EXPLOITATION,1230
FONDATION DES OEUVRES SOCIALES DES TRAVAUX PUBLICS,757
LABEL VIE,653
DGPC,504
ATLAS MULTISERVICES,488
DELL SAS,420
RAM HANDLING,347
ADMINISTRATION GENERALE DU MINISTERE DE L'INTERIEU,295
UNIVERSITE MOHAMMED VI POLYTECHNIQUE,269
LAPROPHAN,229
LA SOMACA,180
BEST INTERIM,164
SOREAD,159
BARID AL MAGHRIB,158
ENTERPRISE SERVICES CDG,152
AUXILIAIRES D'AUTORITE RURAUX,143
NOVEC,133
SNEP,131
GHARB PAPIER CARTON,122
AOS DES JURIDICTIONS FINANCIERES,94
GROUPE AFMA,86
OFFICE NATIONAL DE PECHES,86
CENTRE NATIONAL DE L'ENERGIE DES SCIENCES ET DES T,85
MAROC SOIR,80
HYPER MARCHE LV,78
NOKIA SOLUTIONS AND NETWORKS MOROCCO SARL,70
SOGEA MAROC,65
LES IMPRIMERIES DU MATIN,64
MAXI LV,61
AKZO NOBEL COATINGS,58
MINISTERE DE LA JUSTICE,56
SCAL AVIS,54
CIMR,54
DACHSER MOROCCO,52
ATOS ITS NEARSHORE CENTER MAROC,52
AL AMANA MICROFINANCE,50
TECTRA,46
FONDATION AL KARAMA POUR LA MICRO FINANCE,44
BMCI,42
TECHNIQUE ACIERS,40
MUTUELLE DES DOUANES ET IMPOTS INDIRECTS,39
FEDERATION ROYALE MAROCAINE DE FOOTBALL,39
SOCIETE FINEA,39
SCIF,39
ADMINISTRATION GENERALE DU MINISTERE DE L'INTERIEUR,38
AKZO,36
STE CGI TECHNOLOGIE ET SOLUTIONS MAROC,34
CIMENT DE L'ATLAS,33
ACCOLADE,33
ATLANTIC PALACE,30
MENARA PREFA,29
ASSOCIATION DES OEUVRES SOCIALES DU MINISTERE DU C,26
TOYOTA DU MAROC,26
SIEMENS SA,26
SOCIETE CENTRALE DE REASSURANCE,25
CASANET,25
SIEMENS HEALTHCARE SARL,24
FIDAROC GRANT THORNTON,20
BASSAMAT & LARAQUI SCPA,19
SOCIETE MAROCAINE DES COLLES,19
ADIDAS MOROCCO LLC,19
"CTM ""CARRIERES ET TRANSPORT MENARA""",19
ACCOLADE CASABLANCA,18
COMPAGNIE MINIERE DE TOUISSIT,18
MASCIR,17
KITEA,17
INSTITUTION D'EDUCATION AL QALAM,16
RIFAI HOLDING INVESTISSEMENT,16
SIEMENS ENERGY SARL AU,16
ROBELBOIS,16
LOTERIE NATIONALE,15
COMPAGNIE GENERALE IMMOBILIERE,15
RENAULT COMMERCE MAROC,15
HILTI MAROC,14
SCRIM,13
SAINT GOBAIN MAROC,13
COOPERATIVE COPAG,13
ANAPEC,12
OCP SOLUTIONS,12
GEFCO MAROC,11
THAIS,11
TMPA,11
UNIFITEL,11
SOCIETE DE REALISATION MECANIQUE - SRM,11
SAFRAN ELECTRONICS & DEFENSE MOROCCO,11
"CENTRALE AUTOMOBILE CHERIFIENNE ""C.A.C""",10
G4S MAROC,10
YAMED TRANSACTION,10
OMYA,9
"CENTRALE AUTOMOBILE CHERIFIENNE ""CAC""",9
BRITISH EMBASSY,9
SAINT GOBAIN ABRASIF,8
SOMA MEDICAL,8
KTI VOYAGES,8
SIKA,8
O.F.P.P.T,7
CREA MURS SERVICES,7
NESPRINT,7
CDG CAPITAL BOURSE,7
FONDATION ZAKOURA,7
ACCOR GESTION MAROC,7
EVIDEN TECHNOLOGIES MAROC,7
FLOSIT,7
CGEM,7
YAMED CAPITAL,7
SMTR CARRE,7
MARMARA MEDINA,7
FLEXOPRINT,7
STE SOFRECOM SERVICES MAROC,7
CABINET BASSAMAT ET LARAQUI,6
UMPM,6
FLEET SERVICES MOROCCO,6
MODES & NUANCES,6
CRIT,6
ARGENCE DEVELOPPEMENT SUCCURSALE (AD SUCCURSALE),6
ATOS IT SERVICES,5
STE SIDEXA MAROC,5
SYH MOROCCO,5
BASF MAROC,5
SAFRAN NACELLES MOROCCO,5
AXALTA COATING SYSTEMS,5
FIBRO CIMENT,5
YAMED CONSTRUCTION,5
LOCAFINANCE,5
AGIRH SARL,4
WEMANITY MAROC,4
NTT DATA MOROCCO CENTERS,4
RMO TRAVAIL TEMPORAIRE,4
SKF MAROC SUCCURSALE DE SKF FRANCE,4
NEXANS MAROC,4
MAFODER PREFA SARL,4
MENARA HOLDING,4
GENERALE MAROCAINE D'ASS,4
BEST HEALTH,4
TERSEA MAROC,4
CASA TRANSPORT,4
HYDROCHALLENGE,4
JACOB DELAFON MAROC,4
ASSOCIATION DE LUTTE CONTRE LE SIDA (ALCS),3
SCPC SAPEL,3
CARPENTER ENGINEERED FOAMS MAROC,3
ETS LEOPOLD BERENGER,3
FEDRAVET,3
INSTITUTION D'EDUCATION AL QALAM II,3
DIRECT PRINT,3
YAKEEY MEA,3
SKHIRATE TEMARA AMENAGEMENT ET DEVELOPPEMENT SA,3
TN CAPITAL,3
S.M.T.R CARRE,3
MEDICABLE,3
MAFODER FONDERIE SA,3
TENOR RESTAURATION,3
G.M.S MEDIAS ET COMMUNICATION,3
AFRIC CHIMIE,3
AOS MINISTERE DE COMMERCE,3
SOCOPIM,3
GROUPE PREMIUM,3
INTERFER,3
ATLAS SERVAIR NOUASSER,2
EVERNEX MAROC,2
INSTITUTION D EDUCATION  AL QALAM III,2
OCP FERTINAGRO ADVANCED SOLUTIONS,2
STE JOLY PRESS,2
PREMIUM OFFSHORE,2
FLS MAROC,2
EBBO MAROC S.A,2
SOCIETE DE REALISATION MECANIQUE,2
LES GRANDS MOULINS DE SAFI,2
CBI,2
GIE PRICE WATERHOUSECOOPERS MAROC,2
INDUCAF,2
BULL MAROC,2
GRIMALDI AGENCIES MAROC,2
VIAS,2
REIM PARTNERS SARL,2
SEWS MAROC,2
CEMASSUR,2
UM6P VENTURES,2
SOCIETE DES BOISSONS DU MAROC,2
DISTRAL MAROC,2
IBIS EL JADIDA - MOUSSAFIR HOTELS  S.A.,2
WAVESTONE ADVISORS MAROC,2
DELL MOROCCO SAS,2
US EMBASSY,2
ECU WORLDWIDE MOROCCO,1
CABINET D'EXPETISE OUDGHIRI,1
FIRST PLASTIC,1
JORF LASFAR ENERGY COMPANY 5 & 6,1
PELAGIQUE INDUSTRIE,1
UPS MAROC,1
AFIT,1
SOCIETE HOTELIERE DE BENGUERIR,1
AFMA RABAT,1
JOHNSON AND JOHNSON MOROCCO S.A,1
FREYSSIMA,1
LA MAROCAINE DE RADIO ET DE BROADCAST,1
NACIRI & ASSOCIES ALLEN & OVERY,1
CROUZET,1
ORCHESTRE PHILHARMONIQUE DU MAROC,1
PALMINES,1
SOTRADEMA,1
MAROC LEASING,1
INTERLUX,1
ATLAS CLOUD SERVICES,1
EM ENERGIE MAROC,1
HAMELLE MAROC,1
ATLAS ONLINE,1
MULTI  AFFAIRE CONSTRUCTION ET EQUIPEMENT ( MACE ),1
STE ALF CHAHDA,1
NEWREST MAROC,1
IBERMA,1
BCG MAROC,1
MEDICAL INTERNATIONAL INFORMATION,1
BIC MAROC SARL,1
GENERAL FIRST FOOD SERVICES,1
INGELEC,1
OCP AFRICA,1
CENTRE REGIONAL D'INVESTISSEMENT DE TANGER TETOUAN AL HOCEIM,1
COMPAGNIE MAROCAINE DE TRANSPORT ET D'AFFRETEMENTS MARITIMES,1
TRANSDEV RABAT SALE,1
BEACH BALBOA,1
HUMANIA ITO MOROCCO,1
CABINET D'EXPERTISES OUTALEB,1
RCI,1
SAPRESS,1
CAISSE DE DEPOT ET DE GESTION,1
CENTRE INTERNATIONAL  D'ONCOLOGIE DE CASABLANCA,1
CLINIQUE JERRADA OASIS,1
ABDA CEREALES,1
RESTAURANT LE TURBOT,1
SOCIETE MAROCAINE DE TRAVAIL TEMPORAIRE,1
FOS-HALIEUTIS,1
TENOR GROUP,1
MENARA TRANSPORT,1
COMANAV,1
IN PANIER,1
SODECAF,1
CHAABI LIL ISKANE,1
COLORADO,1
MOULIN TP MAROC,1
RA MOTOR,1
AGENCE SPECIALE TANGER MEDITERRANEE,1
CDG CAPITAL,1
DISTRINEWS,1
AFRIC  CHIMIE,1
EVIOSYS PACKAGING MAROC,1
C.G.E.M,1
BOURSE DE CASABLANCA,1
TANGER MED ENGINEERING,1
RETAIL HOLDING AFRICA,1
CENTRALE AUTOMOBILE CHERIFIENNE,1
EL OMRANE TANGER-TETOUAN-EL HOCEIMA,1
KTI BERBERE PALACE,1
ELI LILLY SUISSE SA BUREAU DU MAROC,1
BATIFER S.A,1
SAFRAN ELECTRICAL & POWER MOROCCO,1
AFRICA GLOBAL LOGISTICS & SHIPPING MAROC,1
CHEP MAROC,1
PWC ADVISORY MAROC,1
CDG,1
TANGER MED PORT AUTHORITY (TMPA),1
DISWAY,1
EXPLOITATION DES HOTELS RYAD MOGADOR,1
MARKETPHONE,1
